position,title,asin,is_prime,rating,ratings_total,sponsored,is_small_business,coupon,cu_ft,recent_sales_num,price_value,price_list_price,price_name,stock_info,has_coupon,discount$,discount%,commercial,cluster,price_tier
10,"Farberware Over-the-Range Microwave Oven, 1.7 Cu. Ft. - 1000W - Auto Reheat, Multi-Stage Cooking, Melt/Soften Feature, Child Safety Lock, LED Display - Space Efficient & Powerful - Stainless Steel",B0CQPPXJGY,False,4.4,453.0,False,False,,1.7,100.0,259.99,,,,False,0.0,0.0,False,2,medium
11,"Avanti MT09V3S Microwave Oven 900-Watts Compact with 10 Power Levels and 6 Pre Cooking Settings, Speed Defrost, Electronic Control Panel and Glass Turntable, 0.9-Cu.Ft, Stainless Steel",B00QEU9GVO,False,4.2,107.0,False,False,,0.9,,103.99,,,,False,0.0,0.0,False,1,low
13,"Magic Chef Countertop Microwave, 0.9 Cu Ft Small Microwave Oven, 900 Watt, Stainless Steel",B0C6R9YKBQ,False,4.4,158.0,False,False,,0.9,,137.99,,,Only 15 left in stock - order soon.,False,0.0,0.0,False,1,low
14,"BLACK+DECKER Countertop Microwave Oven 2.2 Cu Ft, 1200w Microwave with Smart Sensor & 10 Power Levels, Child Lock & 9 Express Cook Presets",B0F18NWGL5,False,4.3,3.0,False,False,,2.2,50.0,259.99,299.99,Primary,,False,40.0,0.13,False,2,medium
17,"TOSHIBA 6-in-1 Inverter Countertop Microwave Oven Healthy Air Fryer Combo, MASTER Series, Broil, Convection, Speedy Combi, Even Defrost 11.3'' Turntable Sound On/Off, 27 Auto Menu (Renewed)",B0D35ZD38B,False,3.8,37.0,False,False,,unknown,,199.99,269.99,Primary,Only 12 left in stock - order soon.,False,70.0,0.26,False,2,medium
18,Makita MW001GZ 40V MAX XGT Lithium-Ion 1.5 cu-ft. Cordless Microwave (Tool Only),B0C3JHMMTC,False,4.6,30.0,False,False,,1.5,,765.67,846.73,Save 10%,Only 4 left in stock - order soon.,False,81.06,0.1,False,0,high
19,Panasonic NN-SN67HST 1.2 cu. ft. 1200W Cooking Power Stainless Steel Cool Blue LED Inverter Turbo Defrost Countertop Microwave Oven (Renewed),B092JJR7QC,False,4.3,280.0,False,False,,1.2,50.0,149.99,,,,False,0.0,0.0,False,1,low
22,"GE JES1145DLWW Microwave Oven, Solid Black",B077Z4RKNS,False,4.8,8.0,False,False,,unknown,,239.68,,,,False,0.0,0.0,False,2,medium
23,"Frigidaire FFMV1846VB 30"" Black Over the Range Microwave with 1.8 cu. ft. Capacity, in Black",B0876HLWRN,False,4.1,207.0,False,False,,1.8,50.0,249.99,,,,False,0.0,0.0,False,2,medium
11,"Commercial CHEF CHM770W Counter Top Microwave Oven, 0.7 Cubic Feet, White",B00BGTOEBK,False,4.2,759.0,False,False,,0.7,,78.79,86.99,Primary,,False,8.2,0.09,True,1,low
12,"West Bend WBMW110W Microwave Oven 1000-Watts Compact with 6 Pre Cooking Settings, Time and Weight Defrost, Electronic Control Panel and Glass Turntable, White",B0CTTQWWT9,False,4.1,221.0,False,False,,unknown,,109.99,,,,False,0.0,0.0,False,1,low
14,"West Bend WBMW92S Microwave Oven 900-Watts Compact with 10 Power Levels and 6 Pre Cooking Settings, Speed Defrost, Electronic Control Panel and Glass Turntable, 0.9-Cu.Ft, Stainless Steel",B0B71ZRTGM,False,4.1,110.0,False,False,,0.9,,109.99,,,Only 6 left in stock - order soon.,False,0.0,0.0,False,1,low
17,"Avanti, AVAMO7103SST, 700-watt One-Touch 0.7 Cubic Foot Microwave, Black,Stainless Steel",B009R613YK,False,4.8,12.0,False,False,,0.7,,126.5,,,,False,0.0,0.0,False,1,low
18,GE Profile 1.7 cu. ft. Over The Range Microwave in Stainless Steel with Air Fry PVM9179SRSS,B0B8DZKBB7,False,4.5,47.0,False,False,,1.7,50.0,649.0,,,Only 17 left in stock - order soon.,False,0.0,0.0,False,0,high
19,Panasonic 1.6 Cu. Ft. Built-In/Countertop Cyclonic Wave Microwave Oven w/Inverter Technology - Stainless Steel,B00Z7R0J8O,False,4.1,126.0,False,False,,1.6,,364.99,,,,False,0.0,0.0,False,0,high
20,"Nostalgia RMO4BK Retro 0.9 Cubic Foot 800-Watt Countertop Microwave Oven, 5 Power Levels and 12 Cook Settings, LED Display, Jet Black",B07YFDYMF5,False,4.5,1211.0,False,False,,0.9,,119.99,129.99,Save 8%,,False,10.0,0.08,False,1,low
22,"AMANA RCS10TS Medium-Duty Microwave Oven, 1000W",B004QFB4WS,False,3.8,79.0,False,False,,unknown,50.0,626.0,,,,False,0.0,0.0,False,0,high
23,"GE Profile PEB9159SJSS 22"" Countertop Convection/Microwave Oven with 1.5 cu. ft. Capacity in Stainless Steel",B01LMCUI38,False,3.4,260.0,False,False,,1.5,,799.95,,,Only 6 left in stock - order soon.,False,0.0,0.0,False,0,high
24,"COMMERCIAL CHEF Black Microwave 0.7 Cu. Ft. with Rotary Switch Knob, 700W Countertop Small Microwave with Microwave Turntable Plate, 6 Level Power Tabletop Microwave with Microwave Handle",B0B1ZZLWBR,False,4.3,677.0,False,False,,0.7,50.0,92.99,99.99,Primary,,False,7.0,0.07,True,1,low
25,"Great Jones Stir Crazy (Striped) | 3-Piece Stackable Ceramic Mixing Bowl Set | Dishwasher, Freezer & Microwave-Safe | Perfect for Baking, Serving & Mixing | Nesting Design for Easy Storage",B0F4J6W9MY,False,5.0,3.0,True,False,,unknown,,110.0,,,,False,0.0,0.0,False,1,low
